,0
2020-01-01,289.8299
2020-02-01,295.666
2020-03-01,305.5515
2020-04-01,310.1243
2020-05-01,314.9087
2020-06-01,321.9738
2020-07-01,328.2014
2020-08-01,337.0632
2020-09-01,346.6207
2020-10-01,359.657
2020-11-01,371.0211
2020-12-01,385.8826
2021-01-01,401.5071
2021-02-01,415.8595
2021-03-01,435.8657
2021-04-01,453.6503
2021-05-01,468.725
2021-06-01,483.6049
2021-07-01,498.0987
2021-08-01,510.3942
2021-09-01,528.4968
2021-10-01,547.0802
2021-11-01,560.9184
2021-12-01,582.4575
2022-01-01,605.0317
2022-02-01,633.4341
2022-03-01,676.0566
2022-04-01,716.9399
2022-05-01,753.147
2022-06-01,793.0278
2022-07-01,851.761
2022-08-01,911.1316
2022-09-01,967.3076
2022-10-01,1028.706
2022-11-01,1079.2787
2022-12-01,1134.5875
2023-01-01,1202.979
2023-02-01,1282.7091
2023-03-01,1381.1601
2023-04-01,1497.2147
2023-05-01,1613.5895
2023-06-01,1709.6115
2023-07-01,1818.0838
2023-08-01,2044.2832
2023-09-01,2304.9242
2023-10-01,2496.273
2023-11-01,2816.0628
2023-12-01,3533.1922
2024-01-01,4261.5324
